artist_name,artist_id,country,begin_date,end_date,type,gender,disambiguation
Rhonda Vincent And The Rage,b6310fcc-30ea-41a9-9cda-1931f569d76f,US,,,Group,,
Yolanda Kondonassis,73e9c3b8-ef39-48e5-8b08-f746dcf0c765,US,1963,,Person,female,harpist
John Hartford,3178cc4c-cd9f-4842-96fb-28bf9cfec591,US,1937-12-30,2001-06-04,Person,male,
Sheryl Crow,80ccfede-c258-4575-a7ad-c982e9932e0f,US,1962-02-11,,Person,female,American singer-songwriter and musician
Neal Hefti,75770f14-cbe0-4b06-8825-14797098ff2a,US,1922-10-29,2008-10-11,Person,male,
Bayreuth Festival Orchestra,2914addc-dc71-41ce-a3b0-68d6a73bb5d0,,1950,,Orchestra,,"“house orchestra” of Decca Records, associated since 1980 with conductor Ross Pople"
Thalma de Freitas With Vitor Gonçalves,dc31c385-c03e-4cec-acf4-450bbf877239,,,,Person,male,
Chicago Youth Symphony Orchestra,86a3e2f4-ff8a-4d53-9c89-b7c1e3c977ad,US,,,Orchestra,,
Creed,4b1a830b-0a1f-42e5-b8d5-1d6743912e99,US,1995,,Group,,"US rock band from Tallahassee, FL"
Taylor Swift,20244d07-534f-4eff-b4d4-930878889970,US,1989-12-13,,Person,female,
Bad Bunny,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,PR,1994-03-10,,Person,male,
R.E.M.,ea4dfa26-f633-4da6-a52a-f49ea4897b58,US,1980-04-05,2011-09-21,Group,,American rock band
Evgeny Kissin,93047ccd-ec26-40eb-9538-9705b18a2a2e,DE,2006,,Group,,
Beth Howland,8d436610-aa99-4196-9f81-f6840e3d72f4,US,1941-05-28,2015-12-31,Person,female,
Irma Thomas,710c7ffa-977e-4431-9f00-c8d4eddf6808,US,1941-02-18,,Person,female,
Edward Winter,8300d0fa-d120-47f6-a84e-91f140c74767,US,1944-02-23,2014-07-16,Person,male,American blues/rock musician
Alicia De Larrocha,4253b0bc-beff-4579-9101-7df5ecd317ae,ES,1923-05-23,2009-09-25,Person,female,pianist
Pam Tillis,db1e68dc-7e8a-4e0e-aaea-2f1cda1ac360,US,1957-07-24,,Person,female,
Vienna Singverein Chorus,125ec42a-7229-4250-afc5-e057484327fe,XW,,,Other,not applicable,"Special Purpose Artist – Do not add releases here, if possible."
Sikiru Adepoju,1f0e32ae-cc53-44ac-b7f6-977bbab09352,NG,1950-11-10,,Person,male,
Judas Priest,6b335658-22c8-485d-93de-0bc29a1d0349,GB,1969,,Group,,
Joshua Redman Quartet,dc21e71d-4699-4cb3-8f39-d2d8d5dd6538,US,,,Group,,
Diane Linkletter,b0de9254-14f7-4fc0-9f66-58f531fb401a,US,,,Group,,
Café Tacuba,c2b37a39-c66a-44b2-b190-a69485ae5d95,MX,1989,,Group,,
Aphex Twin,f22942a1-6f70-4f48-866e-238cb2308fbd,,1971-08-18,,Person,male,
William Boggs,0eea6871-cabd-4848-83e1-46fc63b8856a,,,,Person,male,conductor
Charlie Haden Quartet West,a2232822-9a09-401b-aad6-cc6ce54bfcb3,US,,,Group,,
Tommy Dorsey,b1cfd018-b393-4632-babc-8a343edb4baa,US,1905-11-19,1956-11-26,Person,male,Swing trombone player & band leader
Terence Blanchard,f21be110-0169-45f5-b5e7-c64a71d218e5,US,1962-03-13,,Person,male,American trumpeter and score composer
Rascal Flatts,6e0ae159-8449-4262-bba5-18ec87fa529f,US,1999,2021,Group,,
Original Broadway Cast Recording With Kristin Chenoweth,9031b393-ced7-4685-9e25-d0b43996158a,US,1968-07-24,,Person,female,
Andrew Lloyd Webber,980ee2d8-2ee9-407b-b48e-48360fbc7437,GB,1948-03-22,,Person,male,English composer and impresario of musical theatre
Crowder,6bcf61d5-3a08-4194-8112-5e155b7afffa,US,1971-11-29,,Person,male,
Kurt Elling,4d39b9be-128d-49a4-a1d3-52727c496343,US,1967-11-02,,Person,male,jazz singer
Father John Misty,172053e5-a7fb-4548-a64d-c53858b5e775,US,1981-05-03,,Person,male,
Carlos Vives,ac367c2e-7783-41e5-a184-131da6b0c166,CO,1961-08-07,,Person,male,
Shaggy,fc63d806-ca89-4ea3-a404-ee6de695743f,JM,1968-10-22,,Person,male,"Orville Richard Burrell, dancehall and reggae singer"
Travis Scott,e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,US,1991-04-30,,Person,male,US rapper
Sandra Crouch,1a917b7e-0f94-4e8a-8e14-b0eda88732d6,US,1942-07-01,2024-03-17,Person,female,
Paramore,44cf61b8-5197-448a-b82b-cef6ee89fac5,US,2004,,Group,,American pop rock band
Barry Manilow,7bb60591-46f3-4147-b692-1814a87e832e,US,1943-06-17,,Person,male,
Ohio Players,81e07550-d0e2-467e-bc71-44b5d52de8f4,US,1959,1997,Group,,
Randy Waldman,5ae04ee9-98e4-4054-81db-5855d3bdebdd,US,1955-09-08,,Person,male,
Alan Gilbert,949a471b-49a3-4d72-8054-37f3174b0a6a,,1836-11-18,1911-05-29,Person,male,"English dramatist, librettist, poet and illustrator"
Cage The Elephant,b41b38d4-ef3e-4f37-8c75-cfe9af999696,US,2006,,Group,,
Cristin Milioti,56f8bdda-33f6-4bf5-96c4-7c7d4e190d31,US,1985-08-16,,Person,female,American actress
Roberto Díaz,df99012f-6666-4fb7-844b-93988c4c6be8,US,1960,,Person,male,violist
Charlie Rich,9fb7fe77-4e8b-4cbd-ba8f-84bcd80a24bc,US,1932-12-14,1995-07-24,Person,male,US country singer
Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05,CA,1978-12-02,,Person,female,
The Eric Whitacre Singers,b555302b-1a4b-4abc-8517-f0f4fbc9ff81,,,,Choir,,
Frank Zappa,e20747e7-55a4-452e-8766-7b985585082d,US,1940-12-21,1993-12-04,Person,male,"US musician, composer, activist & filmmaker"
La Santa Cecilia,17f45b06-9072-4684-84da-bc54648fa267,US,2007,,Group,,
Daniel Lanois,ca0489a4-3a7b-4def-b66e-e00b2f579ae0,CA,1951-09-19,,Person,male,"Canadian record producer, guitarist, vocalist, and songwriter"
Johnny Horton,8736f41f-365e-42c7-a733-36c22e74c97e,US,1925-04-30,1960-11-05,Person,male,
Justice,860b2707-6153-4e3a-aa57-74d2b42c55b5,FR,2003,,Group,,"French electro house, Gaspard Augé & Xavier de Rosnay"
Gerald Levert,9363bf34-2bc4-471e-b6c9-9e8aac379551,US,1966-07-13,2006-11-10,Person,male,
Sammy Smith,03ad1736-b7c9-412a-b442-82536d63a5c4,US,1969-08-06,2003-10-21,Person,male,US singer-songwriter
Aziz Ansari,fa4da603-76c1-465c-b573-42d71847a7a5,US,1983-02-23,,Person,male,
